,date,eth,ukr,cf_eth,cf_ukr
0,2020-11-01,,,,
1,2020-11-02,,,,
2,2020-11-03,,,,
3,2020-11-04,,,66.0,0.0
4,2020-11-05,,,78.0,0.0
5,2020-11-06,,,83.0,2.0
6,2020-11-07,,,112.0,2.0
7,2020-11-08,,,240.0,2.0
8,2020-11-09,,,412.0,2.0
9,2020-11-10,,,1242.0,2.0
10,2020-11-11,,,1397.0,2.0
11,2020-11-12,,,1407.0,2.0
12,2020-11-13,,,1407.0,2.0
13,2020-11-14,,,1473.0,2.0
14,2020-11-15,,,1760.0,2.0
15,2020-11-16,,,1789.0,2.0
16,2020-11-17,,,1819.0,2.0
17,2020-11-18,,,1819.0,2.0
18,2020-11-19,,,1868.0,2.0
19,2020-11-20,,,1900.0,2.0
20,2020-11-21,,,1922.0,2.0
21,2020-11-22,,,1922.0,2.0
22,2020-11-23,,,1922.0,2.0
23,2020-11-24,,,1923.0,3.0
24,2020-11-25,,,1923.0,3.0
25,2020-11-26,,,1933.0,3.0
26,2020-11-27,,,1933.0,3.0
27,2020-11-28,,,2073.0,3.0
28,2020-11-29,,,2174.0,3.0
29,2020-11-30,,,2338.0,5.0
30,2020-12-01,,,2420.0,7.0
31,2020-12-02,,,2441.0,7.0
32,2020-12-03,,,2441.0,7.0
33,2020-12-04,,,2455.0,9.0
34,2020-12-05,,,,9.0
35,2020-12-06,,,2455.0,9.0
36,2020-12-07,,,2467.0,9.0
37,2020-12-08,,,2477.0,9.0
38,2020-12-09,,,2477.0,9.0
39,2020-12-10,,,2477.0,9.0
40,2020-12-11,,,,9.0
41,2020-12-12,,,2478.0,9.0
42,2020-12-13,,,,9.0
43,2020-12-14,,,2488.0,9.0
44,2020-12-15,,,2519.0,9.0
45,2020-12-16,,,2519.0,9.0
46,2020-12-17,,,2522.0,9.0
47,2020-12-18,,,,11.0
48,2020-12-19,,,2525.0,11.0
49,2020-12-20,,,2528.0,11.0
50,2020-12-21,,,,11.0
51,2020-12-22,,,,11.0
52,2020-12-23,,,2738.0,11.0
53,2020-12-24,,,2780.0,11.0
54,2020-12-25,,,2780.0,11.0
55,2020-12-26,,,2783.0,11.0
56,2020-12-27,,,2822.0,11.0
57,2020-12-28,,,3226.0,11.0
58,2020-12-29,,,3229.0,11.0
59,2020-12-30,,,3229.0,11.0
60,2020-12-31,,,3247.0,11.0
61,2021-01-01,,,3255.0,11.0
62,2021-01-02,,,,11.0
63,2021-01-03,,,,11.0
64,2021-01-04,,,,11.0
65,2021-01-05,,,3286.0,11.0
66,2021-01-06,,,3333.0,11.0
67,2021-01-07,,,3366.0,11.0
68,2021-01-08,,,3375.0,11.0
69,2021-01-09,,,3378.0,11.0
70,2021-01-10,,,3393.0,11.0
71,2021-01-11,,,3407.0,12.0
72,2021-01-12,,,3487.0,12.0
73,2021-01-13,,,3526.0,12.0
74,2021-01-14,,,3531.0,12.0
75,2021-01-15,,,3636.0,12.0
76,2021-01-16,,,,12.0
77,2021-01-17,,,3636.0,12.0
78,2021-01-18,,,3636.0,12.0
79,2021-01-19,,,,12.0
80,2021-01-20,,,3668.0,12.0
81,2021-01-21,,,3668.0,14.0
82,2021-01-22,,,,14.0
83,2021-01-23,,,3668.0,15.0
84,2021-01-24,,,,15.0
85,2021-01-25,,,3668.0,15.0
86,2021-01-26,,,,15.0
87,2021-01-27,,,3675.0,15.0
88,2021-01-28,,,3675.0,15.0
89,2021-01-29,,,3675.0,15.0
90,2021-01-30,,,,15.0
91,2021-01-31,,,,15.0
92,2021-02-01,,,3678.0,15.0
93,2021-02-02,,,,16.0
94,2021-02-03,,,3678.0,16.0
95,2021-02-04,,,,16.0
96,2021-02-05,,,3678.0,16.0
97,2021-02-06,,,3682.0,18.0
98,2021-02-07,,,3684.0,18.0
99,2021-02-08,,,3702.0,18.0
100,2021-02-09,,,3707.0,18.0
101,2021-02-10,,,3709.0,18.0
102,2021-02-11,,,3730.0,20.0
103,2021-02-12,,,3733.0,20.0
104,2021-02-13,,,3734.0,20.0
105,2021-02-14,,,3735.0,23.0
106,2021-02-15,,,3930.0,23.0
107,2021-02-16,,,3933.0,23.0
108,2021-02-17,,,3935.0,23.0
109,2021-02-18,,,3945.0,23.0
110,2021-02-19,,,3946.0,23.0
111,2021-02-20,,,3949.0,23.0
112,2021-02-21,,,3950.0,23.0
113,2021-02-22,,,,24.0
114,2021-02-23,,,4046.0,26.0
115,2021-02-24,,,4052.0,26.0
116,2021-02-25,,,4054.0,26.0
117,2021-02-26,,,4081.0,27.0
118,2021-02-27,,,,27.0
119,2021-02-28,,,,28.0
120,2021-03-01,,,,28.0
121,2021-03-02,,,4084.0,28.0
122,2021-03-03,,,4085.0,28.0
123,2021-03-04,,,,28.0
124,2021-03-05,,,4086.0,31.0
125,2021-03-06,,,4108.0,31.0
126,2021-03-07,,,,31.0
127,2021-03-08,,,4114.0,31.0
128,2021-03-09,,,4134.0,31.0
129,2021-03-10,,,4134.0,32.0
130,2021-03-11,,,4134.0,33.0
131,2021-03-12,,,4135.0,35.0
132,2021-03-13,,,4175.0,35.0
133,2021-03-14,,,4215.0,35.0
134,2021-03-15,,,4229.0,35.0
135,2021-03-16,,,,35.0
136,2021-03-17,,,,36.0
137,2021-03-18,,,4232.0,37.0
138,2021-03-19,,,4311.0,38.0
139,2021-03-20,,,4335.0,39.0
140,2021-03-21,,,4359.0,39.0
141,2021-03-22,,,4384.0,42.0
142,2021-03-23,,,4413.0,42.0
143,2021-03-24,,,4448.0,43.0
144,2021-03-25,,,4461.0,43.0
145,2021-03-26,,,4495.0,47.0
146,2021-03-27,,,,47.0
147,2021-03-28,,,4495.0,47.0
148,2021-03-29,,,4512.0,47.0
149,2021-03-30,,,4545.0,47.0
150,2021-03-31,,,4617.0,47.0
151,2021-04-01,,,4617.0,47.0
152,2021-04-02,,,4638.0,49.0
153,2021-04-03,,,4665.0,50.0
154,2021-04-04,,,4709.0,50.0
155,2021-04-05,,,4749.0,52.0
156,2021-04-06,,,4798.0,55.0
157,2021-04-07,,,4862.0,55.0
158,2021-04-08,,,4882.0,56.0
159,2021-04-09,,,4916.0,56.0
160,2021-04-10,,,4918.0,57.0
161,2021-04-11,,,,57.0
162,2021-04-12,,,4918.0,58.0
163,2021-04-13,,,,59.0
164,2021-04-14,,,4973.0,60.0
165,2021-04-15,,,4980.0,60.0
166,2021-04-16,,,5076.0,60.0
167,2021-04-17,,,5086.0,60.0
168,2021-04-18,,,5088.0,63.0
169,2021-04-19,,,5091.0,63.0
170,2021-04-20,,,5091.0,65.0
171,2021-04-21,,,5114.0,65.0
172,2021-04-22,,,5121.0,66.0
173,2021-04-23,,,5141.0,66.0
174,2021-04-24,,,5141.0,66.0
175,2021-04-25,,,5146.0,66.0
176,2021-04-26,,,5157.0,66.0
177,2021-04-27,,,,67.0
178,2021-04-28,,,5197.0,67.0
179,2021-04-29,,,5197.0,67.0
180,2021-04-30,,,5221.0,67.0
181,2021-05-01,,,,67.0
182,2021-05-02,,,,67.0
183,2021-05-03,,,5221.0,68.0
184,2021-05-04,,,,69.0
185,2021-05-05,,,5223.0,70.0
186,2021-05-06,,,,76.0
187,2021-05-07,,,5226.0,76.0
188,2021-05-08,,,5245.0,77.0
189,2021-05-09,,,5246.0,77.0
190,2021-05-10,,,5246.0,77.0
191,2021-05-11,,,5247.0,82.0
192,2021-05-12,,,5570.0,82.0
193,2021-05-13,,,,83.0
194,2021-05-14,,,,84.0
195,2021-05-15,,,5605.0,84.0
196,2021-05-16,,,,84.0
197,2021-05-17,,,5632.0,86.0
